Month,Entry Ticket,Viewing Gallary,Express Entry,NRI Tickets,Total Visitors,Income from Parking in Rs.,Income from Entry Ticket,Income from Galley View,Income from Express Entry,Total Revenue,Avg Earning from Individuals
Jan-19,136694,129390,14043,0,280127,2034857,20504100,49168200,14043000,85750157,306.1117172
Feb-19,86161,113339,8925,0,208425,66645,12924150,43068820,8925000,64984615,311.7889649
Mar-19,83515,129707,9287,0,222509,1541290,12527250,49288660,9287000,72644200,326.4775807
Apr-19,36627,91530,4565,0,132722,1224940,5494050,34781400,4565000,46065390,347.081795
May-19,76348,139236,6241,0,221825,2565930,11452200,52909680,6241000,73168810,329.8492505
Jun-19,83921,123221,6464,0,213606,3118650,12588150,46823980,6464000,68994780,323.0001966
Jul-19,52513,90414,4190,0,147117,2203150,7876950,34357320,4190000,48627420,330.5356961
Aug-19,137560,112591,6727,0,256878,2768350,20634000,42784580,6727000,72913930,283.8465342
Sep-19,125915,140754,9211,0,275880,2535750,18887250,53486520,9211000,84120520,304.9170654
Oct-19,105281,119526,10428,93,235328,1494250,15792150,45419880,10428000,73134280,310.7759383
Nov-19,283821,97583,9095,425,390924,2878350,42573150,37081540,9095000,91628040,234.3883722
Dec-19,278895,155325,14100,387,448707,3690700,41834250,59023500,14100000,118648450,264.4229976
Total,1487251,1442616,103276,905,3034048,26122862,223087650,548194080,103276000,900680592,296.8577267
